function_name,simulation_id,success,execution_time,K_estimate,K_error,S0_y1_estimate,S1_y1_estimate,S0_y2_estimate,S1_y2_estimate,parameter_recovery_error,error_message,has_outliers,phase
fit_lm,1,True,0.0368800163269043,8.233694556872397,3.9988718372598377,29839.793774308513,29927.442338687564,4880.448503350391,2074.5598028001364,1.3897586028727567,,True,deterministic
fit_lm (robust),1,True,0.06441593170166016,3.000000048144845,250.32076319749876,29674.569417250175,165912.26986908892,2525.373614020509,-59033.23534423733,3.8435446031110914,,False,deterministic
fit_lm (iterative),1,True,0.07577276229858398,8.20682703835882,0.12720291922195853,29829.8256627043,29575.989228542378,7677.596241261677,1867.913551435157,1.9579439835577475,,True,deterministic
fit_lm (outlier),1,True,0.0418393611907959,8.233694556872397,3.9988718372598377,29839.793774308513,29927.442338687564,4880.448503350391,2074.5598028001364,1.3897586028727567,,True,deterministic
outlier2,1,True,0.1599133014678955,10.999999923409515,23.25576761794461,17716.038817705532,30042.912148150535,312239.8676182634,2047.1625944831708,62.693569478925795,,True,deterministic
core_recursive,1,True,0.08031940460205078,7.991094941630443,0.3400499495263666,29817.1771631755,29662.304543457747,5866.957604988712,1932.9493519516545,1.5868637371195002,,True,deterministic
core_recursive_outlier,1,True,0.07810688018798828,7.991094941630443,0.3400499495263666,29817.1771631755,29662.304543457747,5866.957604988712,1932.9493519516545,1.5868637371195002,,True,deterministic
core_reweighted,1,True,0.0748600959777832,7.993828609903362,0.4822242303037977,29817.24108185782,29662.397235203065,5891.018024276554,1932.6646477436586,1.5917610145726648,,True,deterministic
api_recursive,1,True,0.08115577697753906,7.991094941630443,0.3400499495263666,29817.1771631755,29662.304543457747,5866.957604988712,1932.9493519516545,1.5868637371195002,,True,deterministic
api_recursive_outlier,1,True,0.0776054859161377,7.991094941630443,0.3400499495263666,29817.1771631755,29662.304543457747,5866.957604988712,1932.9493519516545,1.5868637371195002,,True,deterministic
api_reweighted,1,False,1.71661376953125e-05,,,,,,,,fit_binding_glob_reweighted() missing 1 required positional argument: 'key',True,deterministic
fit_binding_lm,2,True,0.043035030364990234,10.999999999717115,1.6766654062307491,55015.26713079838,29462.753235813234,102364.2205170555,1063.0093083352488,21.506111394076193,,True,deterministic
fit_binding_lm_outlier,2,True,0.038977622985839844,10.999999999717115,1.6766654062307491,55015.26713079838,29462.753235813234,102364.2205170555,1063.0093083352488,21.506111394076193,,True,deterministic
fit_binding (lm),2,True,0.03991413116455078,10.999999999717115,1.6766654062307491,55015.26713079838,29462.753235813234,102364.2205170555,1063.0093083352488,21.506111394076193,,True,deterministic
fit_binding (lm_outlier),2,True,0.04315924644470215,10.999999999717115,1.6766654062307491,55015.26713079838,29462.753235813234,102364.2205170555,1063.0093083352488,21.506111394076193,,True,deterministic
fit_binding_glob,2,True,0.16494107246398926,10.999999999717115,1.6766654062307491,55015.26713079838,29462.753235813234,102364.2205170555,1063.0093083352488,21.506111394076193,,True,deterministic
fit_lm,2,True,0.039356231689453125,10.999999999717115,1.6766654062307491,55015.26713079838,29462.753235813234,102364.2205170555,1063.0093083352488,21.506111394076193,,True,deterministic
fit_lm (robust),2,True,0.04245948791503906,3.000000000000011,5918.102294909282,29644.541559055386,34481.55432079945,2237.1016154749595,10438.960642025268,1.039943362673912,,True,deterministic
fit_lm (iterative),2,True,0.5062069892883301,10.999999998637701,0.9545570317413475,56612.58887630072,29355.886727916146,179464.41671138897,750.68104138027,36.97101766453394,,True,deterministic
fit_lm (outlier),2,True,0.06098341941833496,10.999999999717115,1.6766654062307491,55015.26713079838,29462.753235813234,102364.2205170555,1063.0093083352488,21.506111394076193,,True,deterministic
outlier2,2,True,0.1361541748046875,10.99999998560876,13.49894784729426,55007.0509919241,29462.847239394505,-64461.99277052133,2513.2459690622945,14.267491679172243,,True,deterministic
core_recursive,2,True,0.09554266929626465,10.999999999205471,0.37571979626290053,55762.66282418848,29447.509194271544,129019.73869256103,901.5840958489237,26.858680927697076,,True,deterministic
core_recursive_outlier,2,True,0.09662103652954102,10.999999999205471,0.37571979626290053,55762.66282418848,29447.509194271544,129019.73869256103,901.5840958489237,26.858680927697076,,True,deterministic
core_reweighted,2,True,0.07947206497192383,10.571782076092735,0.45036827719486405,40895.341214876236,29407.7748084163,49989.67449644236,897.6493057808386,10.744218840816904,,False,deterministic
api_recursive,2,True,0.09694409370422363,10.999999999205471,0.37571979626290053,55762.66282418848,29447.509194271544,129019.73869256103,901.5840958489237,26.858680927697076,,True,deterministic
api_recursive_outlier,2,True,0.09590959548950195,10.999999999205471,0.37571979626290053,55762.66282418848,29447.509194271544,129019.73869256103,901.5840958489237,26.858680927697076,,False,deterministic
api_reweighted,2,False,1.8835067749023438e-05,,,,,,,,fit_binding_glob_reweighted() missing 1 required positional argument: 'key',True,deterministic
fit_binding_lm,3,True,0.03724384307861328,5.0765185159841275,1.9726066273632359,29615.263721906096,32631.983922139672,2204.023209416346,12553.538057819153,1.0693496758526886,,True,deterministic
fit_binding_lm_outlier,3,True,0.03685188293457031,5.0765185159841275,1.9726066273632359,29615.263721906096,32631.983922139672,2204.023209416346,12553.538057819153,1.0693496758526886,,False,deterministic
fit_binding (lm),3,True,0.039803504943847656,5.0765185159841275,1.9726066273632359,29615.263721906096,32631.983922139672,2204.023209416346,12553.538057819153,1.0693496758526886,,False,deterministic
fit_binding (lm_outlier),3,True,0.03727221488952637,5.0765185159841275,1.9726066273632359,29615.263721906096,32631.983922139672,2204.023209416346,12553.538057819153,1.0693496758526886,,True,deterministic
fit_binding_glob,3,True,0.03780937194824219,5.0765185159841275,1.9726066273632359,29615.263721906096,32631.983922139672,2204.023209416346,12553.538057819153,1.0693496758526886,,False,deterministic
fit_lm,3,True,0.037004709243774414,5.0765185159841275,1.9726066273632359,29615.263721906096,32631.983922139672,2204.023209416346,12553.538057819153,1.0693496758526886,,False,deterministic
fit_lm (robust),3,True,0.0550844669342041,5.462897138858562,1.3641903418000818,29615.21738816182,31619.842016877945,552.11710972898,10833.13951102237,0.843049881154595,,True,deterministic
fit_lm (iterative),3,True,0.06820416450500488,5.140098399269616,0.08823581733040459,29623.550513863454,32739.371387110248,2201.0899791215757,8897.287824512274,0.9205537428864444,,True,deterministic
fit_lm (outlier),3,True,0.05062437057495117,5.0765185159841275,1.9726066273632359,29615.263721906096,32631.983922139672,2204.023209416346,12553.538057819153,1.0693496758526886,,True,deterministic
outlier2,3,True,0.26851820945739746,5.585202486658414,0.6853129496100216,29598.443972764144,31344.45608783119,-526.0175329440666,10785.796628315386,1.054287693847829,,True,deterministic
core_recursive,3,True,0.07770919799804688,5.01974273186605,0.3819094483867761,29619.264268454408,33075.324202987205,2268.324950793419,10205.549001503534,0.9881111325928698,,True,deterministic
core_recursive_outlier,3,True,0.07738208770751953,5.01974273186605,0.3819094483867761,29619.264268454408,33075.324202987205,2268.324950793419,10205.549001503534,0.9881111325928698,,True,deterministic
