function_name,simulation_id,success,execution_time,K_estimate,K_error,S0_y1_estimate,S1_y1_estimate,S0_y2_estimate,S1_y2_estimate,parameter_recovery_error,error_message,has_outliers,phase
fit_binding_bayes_perlabel,3,True,0.0508265495300293,5.0765185159841275,1.9726066273632359,29615.263721906096,32631.983922139672,2204.023209416346,12553.538057819153,1.0693496758526886,,False,bayesian
fit_binding_pymc,3,True,110.34633564949036,-11.544,11.827,29874.812,34685.641,3092.074,17683.461,1.8923469160000004,,False,bayesian
fit_binding_pymc2,3,True,44.19429969787598,5.098,0.236,29614.323,32969.243,2185.809,13569.039,1.1043861813333333,,True,bayesian
fit_binding_odr,3,True,0.05308723449707031,5.783612951092443,0.6755188584538756,29587.87376972596,31031.700396562763,-211.0515427151271,8694.05551492172,0.9033735242523638,,False,bayesian
fit_binding_odr_recursive,3,True,0.1530764102935791,6.115234564570628,0.13676749819930656,29614.821544012815,30503.757065466267,-660.3740690495436,5579.191777785533,0.8624509658178379,,False,bayesian
fit_binding_odr_recursive_outlier,3,True,0.8540096282958984,6.078159022383338,0.011431909874130258,29625.535580089552,30603.939175808166,-1057.7162390137,6681.0552393508515,0.9867961716784436,,True,bayesian
fit_binding_bayes,4,True,0.06062889099121094,9.78556785355762,0.35749990506083545,30241.04602405888,29816.205456340722,-34188.06190323838,3994.2295116141927,7.624347774933793,,True,bayesian
fit_binding_bayes_perlabel,4,True,0.0597536563873291,9.78556785355762,0.35749990506083545,30241.04602405888,29816.205456340722,-34188.06190323838,3994.2295116141927,7.624347774933793,,True,bayesian
fit_binding_pymc,4,True,53.83016514778137,10.473,0.451,30831.967,29834.8,-129439.455,3445.059,26.72666878,,True,bayesian
fit_binding_pymc2,4,True,48.07669949531555,9.844,0.059,30294.264,29814.288,-37364.963,3981.668,8.262860674666667,,True,bayesian
fit_binding_odr,4,True,0.04656815528869629,10.517748366956141,1.3585030028152245,30923.24585548019,29813.377030270145,-89919.38326512925,1619.7185403248934,18.898772610186874,,True,bayesian
fit_binding_odr_recursive,4,True,0.11185336112976074,10.21064507728619,0.34831682100533123,30188.51488732426,29796.33093284789,-50764.443435556364,985.6071785120413,11.070333242713518,,True,bayesian
fit_binding_odr_recursive_outlier,4,True,0.234419584274292,10.255591360855178,0.31588868238451884,30207.371303434807,29798.596764257476,-54120.66255442146,913.3402218543301,11.746034377311258,,True,bayesian
